Tri;Année;Périmètre juridique;Legal perimeter;Périmètre spatial;Spatial perimeter;Indicateur;Indicator;Valeur de l'indicateur;Unité;Unit;Méthode de consolidation;Consolidation method
19;2012;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;4519.0;Nombre;Number;Intégration Globale;Full integration
18;2013;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;4645.0;Nombre;Number;Intégration Globale;Full integration
17;2014;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;5086.0;Nombre;Number;Intégration Globale;Full integration
16;2015;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;5232.0;Nombre;Number;Intégration Globale;Full integration
15;2016;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;5211.0;Nombre;Number;Intégration Globale;Full integration
14;2017;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;3.4;%;%;Intégration Globale;Full integration
13;2017;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;5279.0;Nombre;Number;Intégration Globale;Full integration
12;2018;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;3.5;%;%;Intégration Globale;Full integration
11;2018;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;5640.0;Nombre;Number;Intégration Globale;Full integration
10;2019;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;3.4;%;%;Intégration Globale;Full integration
9;2019;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;5682.0;Nombre;Number;Intégration Globale;Full integration
8;2020;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;3.5;%;%;Intégration Globale;Full integration
7;2020;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;5826.0;Nombre;Number;Intégration Globale;Full integration
6;2021;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;3.86;%;%;Intégration Globale;Full integration
5;2021;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;6454.0;Nombre;Number;Intégration Globale;Full integration
4;2022;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;3.96;%;%;Intégration Globale;Full integration
3;2022;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;6791.0;Nombre;Number;Intégration Globale;Full integration
2;2023;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;3.93;%;%;Intégration Globale;Full integration
1;2023;Groupe EDF;EDF Group;Monde;Worldwide;Nombre d’employés en situation de handicap;Number of employees with disabilities;7054.0;Nombre;Number;Intégration Globale;Full integration
